,sentence,sentence_num,stimulus_id,experiment,story,passage_index,passage_label,passage_category
43,"In some tropical places, vanilla ice cream is topped with bananas and fresh mangos.",43,243sentences.43,243sentences,243sentences.ice_cream,13,ice_cream,ice_cream
44,I remember making ice cream at home as a child.,44,243sentences.44,243sentences,243sentences.ice_cream,14,ice_cream,ice_cream
45,"We poured the cream mixture into a frozen tub, then start turning the crank to expose it to the cold.",45,243sentences.45,243sentences,243sentences.ice_cream,14,ice_cream,ice_cream
46,Eventually it froze enough that I couldn't turn the hand crank any more.,46,243sentences.46,243sentences,243sentences.ice_cream,14,ice_cream,ice_cream
47,Then I put the container of half-frozen ice cream into the freezer to harden.,47,243sentences.47,243sentences,243sentences.ice_cream,14,ice_cream,ice_cream
48,"Ice cream is a mixture of milk or cream, sugar, flavorings, and up to half whipped-in air.",48,243sentences.48,243sentences,243sentences.ice_cream,15,ice_cream,ice_cream
49,The butterfat in milk and cream is what makes it smooth and silky.,49,243sentences.49,243sentences,243sentences.ice_cream,15,ice_cream,ice_cream
50,High-priced premium ice cream is loaded with butterfat and natural flavorings.,50,243sentences.50,243sentences,243sentences.ice_cream,15,ice_cream,ice_cream
51,"When I use the riding lawn mower, the uncomfortable chair makes my back hurt.",51,243sentences.51,243sentences,243sentences.lawn_mower,16,lawn_mower,lawn_mower
52,I use the two levers in front of me to control the machine.,52,243sentences.52,243sentences,243sentences.lawn_mower,16,lawn_mower,lawn_mower
53,The sharp blades underneath the lawn mower precisely sever each blade of grass.,53,243sentences.53,243sentences,243sentences.lawn_mower,16,lawn_mower,lawn_mower
54,Mowing the lawn is a long task and it has taught me patience.,54,243sentences.54,243sentences,243sentences.lawn_mower,16,lawn_mower,lawn_mower
55,A lawn mower is a machine with revolving blades that cut grass to an even height.,55,243sentences.55,243sentences,243sentences.lawn_mower,17,lawn_mower,lawn_mower
56,The blades may be powered by muscle or the machine may have a motor.,56,243sentences.56,243sentences,243sentences.lawn_mower,17,lawn_mower,lawn_mower
57,The most common power source for lawn mowers is a small gas engine.,57,243sentences.57,243sentences,243sentences.lawn_mower,17,lawn_mower,lawn_mower
58,Electric lawnmowers are better for the environment because they do not create emissions.,58,243sentences.58,243sentences,243sentences.lawn_mower,18,lawn_mower,lawn_mower
59,They also need less maintenance and are less expensive to run.,59,243sentences.59,243sentences,243sentences.lawn_mower,18,lawn_mower,lawn_mower
60,Electric lawn mowers use as much electricity as an ordinary toaster.,60,243sentences.60,243sentences,243sentences.lawn_mower,18,lawn_mower,lawn_mower
61,Astronauts train a long time for their spacewalks.,61,243sentences.61,243sentences,243sentences.astronaut,19,astronaut,astronaut
62,Much of their training is conducted underwater.,62,243sentences.62,243sentences,243sentences.astronaut,19,astronaut,astronaut
63,They may spend 8 to 10 hours in the pool for every hour they will spend floating in space.,63,243sentences.63,243sentences,243sentences.astronaut,19,astronaut,astronaut
64,Astronauts practice to be able to perform construction and repair work on the outside of the space station.,64,243sentences.64,243sentences,243sentences.astronaut,19,astronaut,astronaut
65,"The commanders of shuttle flights are always pilots, and many have backgrounds as military test pilots.",65,243sentences.65,243sentences,243sentences.astronaut,20,astronaut,astronaut
66,"Other astronauts are trained as doctors, engineers, and scientists, who can run experiments in space.",66,243sentences.66,243sentences,243sentences.astronaut,20,astronaut,astronaut
67,"Early crews were all young men, but astronauts now are much more diverse.",67,243sentences.67,243sentences,243sentences.astronaut,20,astronaut,astronaut
68,The team of astronauts floated out together to the exterior of the space shuttle.,68,243sentences.68,243sentences,243sentences.astronaut,21,astronaut,astronaut
69,They carried tools needed to repair the broken part on the huge telescope.,69,243sentences.69,243sentences,243sentences.astronaut,21,astronaut,astronaut
70,"One astronaut loosened the bolts on the pipe, while the other fitted the replacement part into place.",70,243sentences.70,243sentences,243sentences.astronaut,21,astronaut,astronaut
71,Computers have been used in art for a long time by experimental artists.,71,243sentences.71,243sentences,243sentences.computer_graphics,22,computer_graphics,computer_graphics
72,"Now that computers are more affordable and widespread, computer graphics have entered the mainstream art world.",72,243sentences.72,243sentences,243sentences.computer_graphics,22,computer_graphics,computer_graphics
73,Some computer science conferences have art exhibitions that showcase the latest graphics technology.,73,243sentences.73,243sentences,243sentences.computer_graphics,22,computer_graphics,computer_graphics
74,Brand new conferences have sprung up that are devoted to bridging the two cultures.,74,243sentences.74,243sentences,243sentences.computer_graphics,22,computer_graphics,computer_graphics
75,The computer graphics specialist works with doctors to visualize medical conditions and surgical procedures.,75,243sentences.75,243sentences,243sentences.computer_graphics,23,computer_graphics,computer_graphics
76,She uses digital animation to help doctors understand structures within a patient's body.,76,243sentences.76,243sentences,243sentences.computer_graphics,23,computer_graphics,computer_graphics
77,Seeing the internal structures in an animation on a screen is much clearer than squinting at X-rays.,77,243sentences.77,243sentences,243sentences.computer_graphics,23,computer_graphics,computer_graphics
78,Modern digital animation is a powerful tool for education.,78,243sentences.78,243sentences,243sentences.computer_graphics,24,computer_graphics,computer_graphics
79,"As the field of computer graphics broadens, we must ask if graphics actually help students.",79,243sentences.79,243sentences,243sentences.computer_graphics,24,computer_graphics,computer_graphics
80,Research does suggest that vivid and engaging digital imagery can be effective in the classroom.,80,243sentences.80,243sentences,243sentences.computer_graphics,24,computer_graphics,computer_graphics
81,The reason he came to law school in the first place was cliche.,81,243sentences.81,243sentences,243sentences.law_school,25,law_school,law_school
82,He wanted to change things for the better.,82,243sentences.82,243sentences,243sentences.law_school,25,law_school,law_school
83,He recalled one evening at law school when he and the program director had pulled an all-nighter.,83,243sentences.83,243sentences,243sentences.law_school,25,law_school,law_school
84,They finally finished drafting a petition for several evicted families at sunrise.,84,243sentences.84,243sentences,243sentences.law_school,25,law_school,law_school
85,"Over the past four decades, the cost of legal education has gone up relentlessly.",85,243sentences.85,243sentences,243sentences.law_school,26,law_school,law_school
86,Private law school tuition increased by a factor of four since the 1970s.,86,243sentences.86,243sentences,243sentences.law_school,26,law_school,law_school
87,The market for admission to law school and for new lawyers could eventually crash.,87,243sentences.87,243sentences,243sentences.law_school,26,law_school,law_school
88,Law school faculty often have minimal experience in actually practicing law.,88,243sentences.88,243sentences,243sentences.law_school,27,law_school,law_school
89,Professors focus on writing law review articles for prestigious journals.,89,243sentences.89,243sentences,243sentences.law_school,27,law_school,law_school
90,"Law schools often emphasize the theoretical, with classes on topics like property law in feudal England.",90,243sentences.90,243sentences,243sentences.law_school,27,law_school,law_school
91,Pharmacists are increasingly involved in preventive care.,91,243sentences.91,243sentences,243sentences.pharmacist,28,pharmacist,pharmacist
92,They are becoming front-line health advisers because people go to pharmacies often.,92,243sentences.92,243sentences,243sentences.pharmacist,28,pharmacist,pharmacist
93,Pharmacists are often a good source of information about public health.,93,243sentences.93,243sentences,243sentences.pharmacist,28,pharmacist,pharmacist
94,Doctors consult with pharmacists because they know a lot about drug interactions and side effects.,94,243sentences.94,243sentences,243sentences.pharmacist,28,pharmacist,pharmacist
95,Pharmacists dispense prescription drugs to patients and offer advice about the safe use of medications.,95,243sentences.95,243sentences,243sentences.pharmacist,29,pharmacist,pharmacist
96,They also conduct health and wellness screenings and provide vaccines.,96,243sentences.96,243sentences,243sentences.pharmacist,29,pharmacist,pharmacist
97,Pharmacists must have professional degrees and pass two exams in order to be licensed.,97,243sentences.97,243sentences,243sentences.pharmacist,29,pharmacist,pharmacist
98,I think the pharmacy profession chose me as much as I chose to be a pharmacist.,98,243sentences.98,243sentences,243sentences.pharmacist,30,pharmacist,pharmacist
99,I was fascinated by the neatly arranged bottles in pharmacies as a child.,99,243sentences.99,243sentences,243sentences.pharmacist,30,pharmacist,pharmacist
100,"I know it's cliche, but I love the impact that I have on lives of my patients.",100,243sentences.100,243sentences,243sentences.pharmacist,30,pharmacist,pharmacist
101,Each person has his or her own response to potentially stressful situations.,101,243sentences.101,243sentences,243sentences.stress,31,stress,stress
102,"One person may be devastated by unemployment, while another may find working fulltime stressful.",102,243sentences.102,243sentences,243sentences.stress,31,stress,stress
103,"There are everyday stresses, like being stuck in traffic.",103,243sentences.103,243sentences,243sentences.stress,31,stress,stress
104,"There are also traumatic stresses, such as divorce or loss of a child.",104,243sentences.104,243sentences,243sentences.stress,31,stress,stress
105,Some people can adapt to different levels of stress.,105,243sentences.105,243sentences,243sentences.stress,32,stress,stress
106,"If not dealt with effectively, though, stress can take a real toll on health.",106,243sentences.106,243sentences,243sentences.stress,32,stress,stress
107,Remember that it's your reaction to stress that determines if it will be harmful or beneficial.,107,243sentences.107,243sentences,243sentences.stress,32,stress,stress
108,"When my company was downsizing, I felt incredibly stressed and worried.",108,243sentences.108,243sentences,243sentences.stress,33,stress,stress
109,"My heart would race for no reason, and I even felt dizzy at times.",109,243sentences.109,243sentences,243sentences.stress,33,stress,stress
110,"Then, I started taking yoga to try to manage my stress level.",110,243sentences.110,243sentences,243sentences.stress,33,stress,stress
111,The man wore a jet black tuxedo with satin stripes.,111,243sentences.111,243sentences,243sentences.tuxedo,34,tuxedo,tuxedo
112,It was made with rich fabric cut in the latest style.,112,243sentences.112,243sentences,243sentences.tuxedo,34,tuxedo,tuxedo
113,"Clearly he had it tailored, as it fit the man perfectly.",113,243sentences.113,243sentences,243sentences.tuxedo,34,tuxedo,tuxedo
114,It looked like something a professional stylist would have picked out for a formal event.,114,243sentences.114,243sentences,243sentences.tuxedo,34,tuxedo,tuxedo
115,"While the tuxedo is still preferred, today's grooms are making personal statements in wedding attire.",115,243sentences.115,243sentences,243sentences.tuxedo,35,tuxedo,tuxedo
116,Shorter jackets are on the cutting edge of wedding fashion for men.,116,243sentences.116,243sentences,243sentences.tuxedo,35,tuxedo,tuxedo
117,Grooms are also jazzing up their tuxedos with colorful shirts and satin ties.,117,243sentences.117,243sentences,243sentences.tuxedo,35,tuxedo,tuxedo
118,A tuxedo jacket is a tailless dinner jacket with black silk lapels.,118,243sentences.118,243sentences,243sentences.tuxedo,36,tuxedo,tuxedo
119,Black tie trousers should be a perfect match to the tuxedo jacket.,119,243sentences.119,243sentences,243sentences.tuxedo,36,tuxedo,tuxedo
120,The shirt should always be plain white and the tie should be black and match the jacket lapels.,120,243sentences.120,243sentences,243sentences.tuxedo,36,tuxedo,tuxedo
121,The concert pianist went blind in adulthood.,121,243sentences.121,243sentences,243sentences.blindness,37,blindness,blindness
122,Her blindness was caused by a genetic condition that slowly damaged the eyes.,122,243sentences.122,243sentences,243sentences.blindness,37,blindness,blindness
123,She told interviewers that being blind was an advantage to a pianist.,123,243sentences.123,243sentences,243sentences.blindness,37,blindness,blindness
124,"She had no visual distractions, so she could concentrate more fully on her music.",124,243sentences.124,243sentences,243sentences.blindness,37,blindness,blindness
125,The government defines blindness as vision insufficient for the ordinary activities of life.,125,243sentences.125,243sentences,243sentences.blindness,38,blindness,blindness
126,"By establishing the parameters of legal blindness, resources can be focused on the legally blind.",126,243sentences.126,243sentences,243sentences.blindness,38,blindness,blindness
127,This may overlook those who have vision problems but who do not meet the standard.,127,243sentences.127,243sentences,243sentences.blindness,38,blindness,blindness
128,"In developing countries, blindness in children is usually caused by infectious disease and nutritional deficiencies.",128,243sentences.128,243sentences,243sentences.blindness,39,blindness,blindness
129,These causes can often be prevented by medicine and vitamin supplements.,129,243sentences.129,243sentences,243sentences.blindness,39,blindness,blindness
130,"In developed countries, blindness is more likely to be caused by genetic problems.",130,243sentences.130,243sentences,243sentences.blindness,39,blindness,blindness
131,No one really knows exactly how a taste gets from your mouth to your brain.,131,243sentences.131,243sentences,243sentences.taste,40,taste,taste
132,Scientists think the process begins when a molecule of food touches a taste bud cell.,132,243sentences.132,243sentences,243sentences.taste,40,taste,taste
133,The cell carries a taste message to taste nerves beneath the cell.,133,243sentences.133,243sentences,243sentences.taste,40,taste,taste
134,It was once believed that each taste bud responded to one of the four basic tastes.,134,243sentences.134,243sentences,243sentences.taste,41,taste,taste
135,"That is, a taste bud on the tip of the tongue would respond only if you were eating something sweet.",135,243sentences.135,243sentences,243sentences.taste,41,taste,taste
136,Scientists now think that a single taste bud can be sensitive to all of the basic tastes.,136,243sentences.136,243sentences,243sentences.taste,41,taste,taste
137,"My sense of taste isn't very good, so I tend to eat foods with very strong flavors.",137,243sentences.137,243sentences,243sentences.taste,42,taste,taste
138,"I like lots of hot sauce, and I drink my coffee with no cream, so it's very bitter.",138,243sentences.138,243sentences,243sentences.taste,42,taste,taste
139,"I can't even taste sweetness well, so when I make cookies I add extra sugar.",139,243sentences.139,243sentences,243sentences.taste,42,taste,taste
140,Hip fractures are a real problem for aging individuals.,140,243sentences.140,243sentences,243sentences.bone_fracture,43,bone_fracture,bone_fracture
141,Patients are faced with the pain of the break and the difficult process of healing.,141,243sentences.141,243sentences,243sentences.bone_fracture,43,bone_fracture,bone_fracture
142,Families have to adjust to the patient's loss of independence.,142,243sentences.142,243sentences,243sentences.bone_fracture,43,bone_fracture,bone_fracture
143,"And for society, hip fractures involve substantial expense and time in the hospital.",143,243sentences.143,243sentences,243sentences.bone_fracture,43,bone_fracture,bone_fracture
144,"Halfway through the race, I heard a sound like someone snapping their fingers.",144,243sentences.144,243sentences,243sentences.bone_fracture,44,bone_fracture,bone_fracture
145,I felt a crunch and I knew instantly that my foot was broken.,145,243sentences.145,243sentences,243sentences.bone_fracture,44,bone_fracture,bone_fracture
146,Every step felt like running on spikes.,146,243sentences.146,243sentences,243sentences.bone_fracture,44,bone_fracture,bone_fracture
147,"At the doctor's office afterward, the x-ray clearly showed the fracture.",147,243sentences.147,243sentences,243sentences.bone_fracture,44,bone_fracture,bone_fracture
148,There are a few different types of bone fracture.,148,243sentences.148,243sentences,243sentences.bone_fracture,45,bone_fracture,bone_fracture
149,"In closed or simple fractures, the bone is broken but the skin is intact.",149,243sentences.149,243sentences,243sentences.bone_fracture,45,bone_fracture,bone_fracture
150,"In open or compound fractures, the broken bone has punctured the skin and produced an open wound.",150,243sentences.150,243sentences,243sentences.bone_fracture,45,bone_fracture,bone_fracture
151,New ear piercings can become infected if they're not carefully cleaned.,151,243sentences.151,243sentences,243sentences.infection,46,infection,infection
152,"Signs of infection include tenderness, swelling, or redness around the earlobe.",152,243sentences.152,243sentences,243sentences.infection,46,infection,infection
153,"If you see these symptoms, clean the area and apply some ointment.",153,243sentences.153,243sentences,243sentences.infection,46,infection,infection
154,"If the redness and swelling don't go away, contact your health care provider.",154,243sentences.154,243sentences,243sentences.infection,46,infection,infection
155,A local hospital has initiated new measures to reduce infections.,155,243sentences.155,243sentences,243sentences.infection,47,infection,infection
156,They have improved hand washing habits and ensured that infected patients are isolated from other patients.,156,243sentences.156,243sentences,243sentences.infection,47,infection,infection
157,The hospital has seen infection rates drop since the new measures began.,157,243sentences.157,243sentences,243sentences.infection,47,infection,infection
158,"Scrubbing a wound with soap or alcohol delays healing, which increases the risk of infection.",158,243sentences.158,243sentences,243sentences.infection,48,infection,infection
159,Band-aids can increase the risk of infection by holding in heat and moisture.,159,243sentences.159,243sentences,243sentences.infection,48,infection,infection
160,"Fortunately, most skin infections can easily be treated once they are diagnosed.",160,243sentences.160,243sentences,243sentences.infection,48,infection,infection
161,Modern opera started at the end of the sixteenth century.,161,243sentences.161,243sentences,243sentences.opera,49,opera,opera
162,It began as an effort to rediscover and imitate Greek tragic performance.,162,243sentences.162,243sentences,243sentences.opera,49,opera,opera
163,Early founders of opera chose tales from antiquity for their subject matter.,163,243sentences.163,243sentences,243sentences.opera,49,opera,opera
164,Later operas branched out into different sources of stories and musical traditions.,164,243sentences.164,243sentences,243sentences.opera,49,opera,opera
165,Opera is an art form in which singers and musicians perform a play that combines words and music.,165,243sentences.165,243sentences,243sentences.opera,50,opera,opera
166,"It incorporates many of the elements of spoken theatre, such as acting, scenery, and costumes.",166,243sentences.166,243sentences,243sentences.opera,50,opera,opera
167,Performances are typically given in an opera house and accompanied by an orchestra.,167,243sentences.167,243sentences,243sentences.opera,50,opera,opera
168,The opera singer has worked hard to win the role in the new production.,168,243sentences.168,243sentences,243sentences.opera,51,opera,opera
169,Her job is not just about singing.,169,243sentences.169,243sentences,243sentences.opera,51,opera,opera
170,"Acting, stage presence, and musical interpretation are all critical.",170,243sentences.170,243sentences,243sentences.opera,51,opera,opera
171,"But her pure, strong voice is certainly the star of the show.",171,243sentences.171,243sentences,243sentences.opera,51,opera,opera
172,A painter must keep many elements in mind while completing a painting.,172,243sentences.172,243sentences,243sentences.painter,52,painter,painter
173,"She has to use solid elements of design, like strong composition and lighting.",173,243sentences.173,243sentences,243sentences.painter,52,painter,painter
174,She has to execute the brush strokes with skill.,174,243sentences.174,243sentences,243sentences.painter,52,painter,painter
175,"Most importantly, the content of the painting should reveal a glimpse of the painter's soul.",175,243sentences.175,243sentences,243sentences.painter,52,painter,painter
176,"Long ago, painters were employed more as skilled artisans than as creative artists.",176,243sentences.176,243sentences,243sentences.painter,53,painter,painter
177,"However, prominent painters had the social status of scholars and members of the royal court.",177,243sentences.177,243sentences,243sentences.painter,53,painter,painter
178,"They signed their work, decided on its subject and imagery, and established a personal relationship with their patrons.",178,243sentences.178,243sentences,243sentences.painter,53,painter,painter
179,"As a painter, I learned to focus less on the actual scene and more on the painting itself.",179,243sentences.179,243sentences,243sentences.painter,54,painter,painter
180,An artist's eye is not a camera lens that has to record everything within its field of vision.,180,243sentences.180,243sentences,243sentences.painter,54,painter,painter
181,"I found nature provides useful information, but more than is needed for a good painting.",181,243sentences.181,243sentences,243sentences.painter,54,painter,painter
182,The eagle owl is an impressive bird.,182,243sentences.182,243sentences,243sentences.owl,55,owl,owl
183,It has ear tufts that stick up like horns.,183,243sentences.183,243sentences,243sentences.owl,55,owl,owl
184,"Its large orange eyes are downright creepy, and look like they could pierce right through you.",184,243sentences.184,243sentences,243sentences.owl,55,owl,owl
185,"This owl hunts at night, flying swiftly and silently through the darkness.",185,243sentences.185,243sentences,243sentences.owl,55,owl,owl
186,"While some owl species have become endangered, others are thriving.",186,243sentences.186,243sentences,243sentences.owl,56,owl,owl
187,The barred owl has spread well beyond its previous habitat.,187,243sentences.187,243sentences,243sentences.owl,56,owl,owl
188,Early findings suggest that logging may have facilitated the barred owl's invasion.,188,243sentences.188,243sentences,243sentences.owl,56,owl,owl
189,The owl landed on a thick branch and gripped it with her talons.,189,243sentences.189,243sentences,243sentences.owl,57,owl,owl
190,"She pressed her wings to her sides and settled down, half-closing an eye.",190,243sentences.190,243sentences,243sentences.owl,57,owl,owl
191,She might have been a statue but for the glow of her eyes.,191,243sentences.191,243sentences,243sentences.owl,57,owl,owl
192,It's unnerving to watch a polar bear stalk across floating sea ice.,192,243sentences.192,243sentences,243sentences.polar_bear,58,polar_bear,polar_bear
193,It's even worse when you are submerged in the frigid waters directly beneath the huge animal.,193,243sentences.193,243sentences,243sentences.polar_bear,58,polar_bear,polar_bear
194,"Overhead, giant paws set down on the ice as the polar bear pursued its prey.",194,243sentences.194,243sentences,243sentences.polar_bear,58,polar_bear,polar_bear
195,"As part of the film crew for a polar bear documentary, I spent months capturing these shots.",195,243sentences.195,243sentences,243sentences.polar_bear,58,polar_bear,polar_bear
196,Polar bears are one of the few animals that will attack people for reasons other than fear or confusion.,196,243sentences.196,243sentences,243sentences.polar_bear,59,polar_bear,polar_bear
197,They may attack out of hunger because they live in a food-scarce environment.,197,243sentences.197,243sentences,243sentences.polar_bear,59,polar_bear,polar_bear
198,"They will sneak up on people slowly, careful to conserve their energy.",198,243sentences.198,243sentences,243sentences.polar_bear,59,polar_bear,polar_bear
199,The seal is an important part of the polar bear's diet.,199,243sentences.199,243sentences,243sentences.polar_bear,60,polar_bear,polar_bear
200,"When hunting, they will wait by a seal's breathing hole, or stalk seals that are basking on the ice.",200,243sentences.200,243sentences,243sentences.polar_bear,60,polar_bear,polar_bear
201,The polar bear will crawl quietly forward and freeze in place when the seal looks around.,201,243sentences.201,243sentences,243sentences.polar_bear,60,polar_bear,polar_bear
202,The medieval castle was not a structure built primarily for defense.,202,243sentences.202,243sentences,243sentences.castle,61,castle,castle
203,Its purpose was to dominate its surroundings.,203,243sentences.203,243sentences,243sentences.castle,61,castle,castle
204,A castle could easily control lands within a day's walk.,204,243sentences.204,243sentences,243sentences.castle,61,castle,castle
205,"During times of attack, peasants, livestock, and property could be brought inside the castle's walls for protection.",205,243sentences.205,243sentences,243sentences.castle,61,castle,castle
206,Spectacular castles in dramatic locations provide a record of the stormy history of many regions.,206,243sentences.206,243sentences,243sentences.castle,62,castle,castle
207,"Today, they stand atop rocky cliffs overlooking beautiful landscapes and quaint villages.",207,243sentences.207,243sentences,243sentences.castle,62,castle,castle
208,"In the past, they were home to battles, plots and intrigue.",208,243sentences.208,243sentences,243sentences.castle,62,castle,castle
209,Upon leaving the train station we saw our hotel looming above:  a magnificent castle built on a cliff.,209,243sentences.209,243sentences,243sentences.castle,63,castle,castle
210,The thick outside walls sheltered an inner courtyard hundreds of feet above the river.,210,243sentences.210,243sentences,243sentences.castle,63,castle,castle
211,Our tower rooms had an incredible but slightly scary view.,211,243sentences.211,243sentences,243sentences.castle,63,castle,castle
212,"After climbing fifty feet up the side of the pyramid, the man gestured me into a small black entranceway.",212,243sentences.212,243sentences,243sentences.pyramid,64,pyramid,pyramid
213,This led into the chamber at the pyramid's center.,213,243sentences.213,243sentences,243sentences.pyramid,64,pyramid,pyramid
214,"I followed him down the steep, dark, narrow Passage.",214,243sentences.214,243sentences,243sentences.pyramid,64,pyramid,pyramid
215,The smell inside the pyramid was chalky and the air was thick.,215,243sentences.215,243sentences,243sentences.pyramid,64,pyramid,pyramid
216,"More than just the tomb of the king, pyramids represented the pride of the nation.",216,243sentences.216,243sentences,243sentences.pyramid,65,pyramid,pyramid
217,The care that the pyramid builders took in their craft is evident.,217,243sentences.217,243sentences,243sentences.pyramid,65,pyramid,pyramid
218,The stones covering the pyramid were precisely fitted together and polished until the structure gleamed.,218,243sentences.218,243sentences,243sentences.pyramid,65,pyramid,pyramid
219,Architects are still working to solve the mysteries of how pyramids were constructed.,219,243sentences.219,243sentences,243sentences.pyramid,66,pyramid,pyramid
220,Some think ramps were built inside the pyramid's walls to raise stone blocks.,220,243sentences.220,243sentences,243sentences.pyramid,66,pyramid,pyramid
