Unnamed: 0,sentence_original,sentence_num,stimulus_id,experiment,story,passage_index,passage_label,passage_category,sentence_paraphrase_1,sentence_paraphrase_2,sentence_paraphrase_3,sentence_original_stripped,sentence_paraphrase_1_stripped,sentence_paraphrase_2_stripped,sentence_paraphrase_3_stripped,sentence_original_length,sentence_paraphrase_1_length,sentence_paraphrase_2_length,sentence_paraphrase_3_length,sentence_paraphrase_closest,sentence_paraphrase_closest_candidate_num,diff_sentence_length_original_paraphrase,sentence_paraphrase_post_inspection,manual_candidate_choice,manual_replacement
10,"Bees crawl across his bare arms and hands, but they don't sting, because they're gentle.",10,243sentences.10,243sentences,243sentences.beekeeping,3,beekeeping,beekeeping,"Although the bees crawl on his bare arms and hands, they don't sting due to their docile nature.","The bees may crawl on his exposed arms and hands, but they don't sting because they are gentle creatures.","Despite crawling on his unprotected arms and hands, the bees don't sting because of their peaceful demeanor.",bees crawl across his bare arms and hands but they don't sting because they're gentle.,although the bees crawl on his bare arms and hands they don't sting due to their docile nature.,the bees may crawl on his exposed arms and hands but they don't sting because they are gentle creatures.,despite crawling on his unprotected arms and hands the bees don't sting because of their peaceful demeanor.,15,18,19,17,despite crawling on his unprotected arms and hands the bees don't sting because of their peaceful demeanor.,3,2,despite crawling on his unprotected arms and hands the bees don't sting because of their peaceful demeanor.,,
11,"I have a recurring dream about exams, even though I'm no longer in college.",11,243sentences.11,243sentences,243sentences.dreams,4,dreams,dreams,"I have a persistent dream about taking exams, despite no longer being in college.","My mind keeps revisiting the idea of exams, even though I have graduated from college.","I keep having the same dream about exams, even though I am no longer a college student.",i have a recurring dream about exams even though i'm no longer in college.,i have a persistent dream about taking exams despite no longer being in college.,my mind keeps revisiting the idea of exams even though i have graduated from college.,i keep having the same dream about exams even though i am no longer a college student.,14,14,15,17,i have a persistent dream about taking exams despite no longer being in college.,1,0,i have a persistent dream about taking exams despite no longer being in college.,,
12,"In my dream, it's the day of my final exam and I suddenly realize I've never gone to class.",12,243sentences.12,243sentences,243sentences.dreams,4,dreams,dreams,My recurring dream is about being on the day of a final exam and realizing I haven't attended any classes.,I have this recurring nightmare where I'm taking a final exam and I know I haven't gone to a single lecture.,The recurring dream I have is about me being in a final exam and realizing I haven't attended any classes or done any readings.,in my dream it's the day of my final exam and i suddenly realize i've never gone to class.,my recurring dream is about being on the day of a final exam and realizing i haven't attended any classes.,i have this recurring nightmare where i'm taking a final exam and i know i haven't gone to a single lecture.,the recurring dream i have is about me being in a final exam and realizing i haven't attended any classes or done any readings.,19,20,21,24,my recurring dream is about being on the day of a final exam and realizing i haven't attended any classes.,1,1,my dream is about being on the day of a final exam and realizing i haven't attended any classes.,,1
13,I've never even done any of the reading assignments.,13,243sentences.13,243sentences,243sentences.dreams,4,dreams,dreams,"In my recurring dream, I've missed all the reading assignments for a final exam.",My recurring dream is about not doing any of the reading assignments for a final exam.,"In my recurring nightmare, I have not done any of the reading for a final exam.",i've never even done any of the reading assignments.,in my recurring dream i've missed all the reading assignments for a final exam.,my recurring dream is about not doing any of the reading assignments for a final exam.,in my recurring nightmare i have not done any of the reading for a final exam.,9,14,16,16,in my recurring dream i've missed all the reading assignments for a final exam.,1,5,not a single reading assignment has been completed by me.,,1
14,I know many other people who have the same nightmare.,14,243sentences.14,243sentences,243sentences.dreams,4,dreams,dreams,I know many individuals who also have a similar recurring dream.,"I am not alone in having this recurring nightmare, as I know several others who share the same experience.",Other people also have the same recurring dream that I have.,i know many other people who have the same nightmare.,i know many individuals who also have a similar recurring dream.,i am not alone in having this recurring nightmare as i know several others who share the same experience.,other people also have the same recurring dream that i have.,10,11,19,11,i know many individuals who also have a similar recurring dream.,1,1,the same bad dream is experienced by numerous other individuals i know.,,1
15,"Each morning, participants in the study had to write down their dream experience from the previous night.",15,243sentences.15,243sentences,243sentences.dreams,5,dreams,dreams,"Every morning, the study participants wrote down what they dreamed the previous night.",Participants in the study documented their dream experiences from the prior night each morning.,"Every day, the study participants recorded their dreams from the previous night.",each morning participants in the study had to write down their dream experience from the previous night.,every morning the study participants wrote down what they dreamed the previous night.,participants in the study documented their dream experiences from the prior night each morning.,every day the study participants recorded their dreams from the previous night.,17,13,14,12,participants in the study documented their dream experiences from the prior night each morning.,2,3,participants in the study documented their dream experiences from the prior night each morning.,,
16,"They recorded if they recalled any dreams, and described each dream and its emotional intensity.",16,243sentences.16,243sentences,243sentences.dreams,5,dreams,dreams,"Participants took note if they remembered any dreams, and then detailed each dream along with the emotional intensity experienced.",The participants recorded their recollections of dreams and provided a description of the dream and the level of emotional intensity felt.,The participants jotted down their memory of dreams and outlined the dream and the corresponding emotional intensity.,they recorded if they recalled any dreams and described each dream and its emotional intensity.,participants took note if they remembered any dreams and then detailed each dream along with the emotional intensity experienced.,the participants recorded their recollections of dreams and provided a description of the dream and the level of emotional intensity felt.,the participants jotted down their memory of dreams and outlined the dream and the corresponding emotional intensity.,15,19,21,17,the participants jotted down their memory of dreams and outlined the dream and the corresponding emotional intensity.,3,2,they jotted down their memory of dreams and outlined the dream and the corresponding emotional intensity.,,1
17,"Participants then assigned each dream to a category, such as a flying dream, a bad dream, or a nightmare.",17,243sentences.17,243sentences,243sentences.dreams,5,dreams,dreams,"Participants then placed each dream into one of several categories, such as a flying dream, a bad dream, or a nightmare.","After that, the participants categorized each dream, such as a dream of flying, a negative dream, or a scary dream.","The participants went on to classify each dream into categories like flying dreams, bad dreams, or nightmares.",participants then assigned each dream to a category such as a flying dream a bad dream or a nightmare.,participants then placed each dream into one of several categories such as a flying dream a bad dream or a nightmare.,after that the participants categorized each dream such as a dream of flying a negative dream or a scary dream.,the participants went on to classify each dream into categories like flying dreams bad dreams or nightmares.,19,21,20,17,after that the participants categorized each dream such as a dream of flying a negative dream or a scary dream.,2,1,after that the participants categorized each dream such as a dream of flying a negative dream or a scary dream.,,
18,"Every night while we sleep, our minds are as active as when we are awake.",18,243sentences.18,243sentences,243sentences.dreams,6,dreams,dreams,"During the night while we slumber, our minds are just as energetic as they are during wakefulness.",Our minds are just as active while we sleep at night as they are when we are awake.,The mind is as busy at night while we sleep as it is during wakefulness.,every night while we sleep our minds are as active as when we are awake.,during the night while we slumber our minds are just as energetic as they are during wakefulness.,our minds are just as active while we sleep at night as they are when we are awake.,the mind is as busy at night while we sleep as it is during wakefulness.,15,17,18,15,the mind is as busy at night while we sleep as it is during wakefulness.,3,0,the mind is as busy at night while we sleep as it is during wakefulness.,,
19,"We dream throughout the night, in cycles of about ninety minutes each.",19,243sentences.19,243sentences,243sentences.dreams,6,dreams,dreams,"Throughout the night, we experience dream cycles that last approximately ninety minutes each.","Our dreaming takes place in cycles throughout the night, each cycle lasting around ninety minutes.","Our dreams occur in cycles throughout the night, each cycle lasting roughly ninety minutes.",we dream throughout the night in cycles of about ninety minutes each.,throughout the night we experience dream cycles that last approximately ninety minutes each.,our dreaming takes place in cycles throughout the night each cycle lasting around ninety minutes.,our dreams occur in cycles throughout the night each cycle lasting roughly ninety minutes.,12,13,15,14,throughout the night we experience dream cycles that last approximately ninety minutes each.,1,1,throughout the night we experience dream cycles that last approximately ninety minutes each.,,
20,"Images, feelings, stories, and strange combinations of characters and places can fill our dreams.",20,243sentences.20,243sentences,243sentences.dreams,6,dreams,dreams,"Our dreams can be filled with a variety of things, including images, feelings, stories, and strange combinations of characters and places.","A mixture of images, feelings, stories, and peculiar combinations of characters and locations can fill our dreams.","Dreams can contain a mix of images, emotions, tales, and bizarre combinations of characters and settings.",images feelings stories and strange combinations of characters and places can fill our dreams.,our dreams can be filled with a variety of things including images feelings stories and strange combinations of characters and places.,a mixture of images feelings stories and peculiar combinations of characters and locations can fill our dreams.,dreams can contain a mix of images emotions tales and bizarre combinations of characters and settings.,14,21,17,16,dreams can contain a mix of images emotions tales and bizarre combinations of characters and settings.,3,2,dreams can contain a mix of images emotions tales and bizarre combinations of characters and settings.,,
21,"When I decided to start playing cards, things went from bad to worse.",21,243sentences.21,243sentences,243sentences.gambling,7,gambling,gambling,"When I made the decision to start playing cards, the situation worsened.",The situation worsened when I chose to begin playing cards.,Starting to play cards made things go from bad to worse.,when i decided to start playing cards things went from bad to worse.,when i made the decision to start playing cards the situation worsened.,the situation worsened when i chose to begin playing cards.,starting to play cards made things go from bad to worse.,13,12,10,11,when i made the decision to start playing cards the situation worsened.,1,1,when i made the decision to start playing cards the situation worsened.,,
22,"Gambling was something I had to do, and I had already spent close to $10,000 doing it.",22,243sentences.22,243sentences,243sentences.gambling,7,gambling,gambling,"Gambling was something I had to do, and I had already spent nearly $10,000 on it.",I felt obligated to gamble and had already spent close to ten thousand dollars doing so.,I was compelled to gamble and had already spent nearly ten thousand dollars on it.,gambling was something i had to do and i had already spent close to $10000 doing it.,gambling was something i had to do and i had already spent nearly $10000 on it.,i felt obligated to gamble and had already spent close to ten thousand dollars doing so.,i was compelled to gamble and had already spent nearly ten thousand dollars on it.,17,16,16,15,gambling was something i had to do and i had already spent nearly $10000 on it.,1,1,gambling was something i had to do and i had already spent nearly $10000 on it.,,
23,My friends were sick of watching me gamble my savings away.,23,243sentences.23,243sentences,243sentences.gambling,7,gambling,gambling,My friends were tired of seeing me squander my savings on gambling.,My friends had had enough of watching me throw my savings away on gambling.,My friends were fed up with observing me gamble my savings away.,my friends were sick of watching me gamble my savings away.,my friends were tired of seeing me squander my savings on gambling.,my friends had had enough of watching me throw my savings away on gambling.,my friends were fed up with observing me gamble my savings away.,11,12,14,12,my friends were tired of seeing me squander my savings on gambling.,1,1,my friends were tired of seeing me squander my savings on gambling.,,
24,The hardest part was the horror of leaving a casino after losing money I did not have.,24,243sentences.24,243sentences,243sentences.gambling,7,gambling,gambling,The most difficult aspect was the fear of departing a casino after losing money I did not possess.,The worst part was the terror of leaving a casino after losing money I did not own.,The most challenging part was the horror of exiting a casino after losing money I did not have.,the hardest part was the horror of leaving a casino after losing money i did not have.,the most difficult aspect was the fear of departing a casino after losing money i did not possess.,the worst part was the terror of leaving a casino after losing money i did not own.,the most challenging part was the horror of exiting a casino after losing money i did not have.,17,18,17,18,the worst part was the terror of leaving a casino after losing money i did not own.,2,0,the worst part was the terror of leaving a casino after losing money i did not own.,,
25,Good data on the social and economic effects of legalized gambling are hard to come by.,25,243sentences.25,243sentences,243sentences.gambling,8,gambling,gambling,Obtaining good data on the social and economic consequences of legalized gambling is difficult.,It is challenging to acquire accurate data on the social and economic effects of legalized gambling.,Data on the social and economic effects of legalized gambling is hard to come by.,good data on the social and economic effects of legalized gambling are hard to come by.,obtaining good data on the social and economic consequences of legalized gambling is difficult.,it is challenging to acquire accurate data on the social and economic effects of legalized gambling.,data on the social and economic effects of legalized gambling is hard to come by.,16,14,16,15,it is challenging to acquire accurate data on the social and economic effects of legalized gambling.,2,0,it is challenging to acquire accurate data on the social and economic effects of legalized gambling.,,
26,Some studies indicate that having a casino nearby makes gambling problems more likely.,26,243sentences.26,243sentences,243sentences.gambling,8,gambling,gambling,Certain studies suggest that having a casino nearby increases the likelihood of gambling problems.,Some research indicates that being near a casino increases the risk of gambling problems.,Studies indicate that proximity to a casino can result in an increased likelihood of gambling problems.,some studies indicate that having a casino nearby makes gambling problems more likely.,certain studies suggest that having a casino nearby increases the likelihood of gambling problems.,some research indicates that being near a casino increases the risk of gambling problems.,studies indicate that proximity to a casino can result in an increased likelihood of gambling problems.,13,14,14,16,certain studies suggest that having a casino nearby increases the likelihood of gambling problems.,1,1,certain studies suggest that having a casino nearby increases the likelihood of gambling problems.,,
27,Gambling may also be associated with personal bankruptcies and marriage problems.,27,243sentences.27,243sentences,243sentences.gambling,8,gambling,gambling,Gambling may also be linked to personal bankruptcies and difficulties in marriage.,Personal bankruptcies and marriage problems may also be related to gambling.,Gambling may also result in personal bankruptcies and marital difficulties.,gambling may also be associated with personal bankruptcies and marriage problems.,gambling may also be linked to personal bankruptcies and difficulties in marriage.,personal bankruptcies and marriage problems may also be related to gambling.,gambling may also result in personal bankruptcies and marital difficulties.,11,12,11,10,personal bankruptcies and marriage problems may also be related to gambling.,2,0,personal bankruptcies and marriage problems may also be related to gambling.,,
28,"Over the past generation, there has been a dramatic expansion of legalized gambling.",28,243sentences.28,243sentences,243sentences.gambling,9,gambling,gambling,"Over the last generation, there has been a significant expansion of legalized gambling.",Legalized gambling has experienced a major growth in the last generation.,"In the past generation, legalized gambling has seen a marked expansion.",over the past generation there has been a dramatic expansion of legalized gambling.,over the last generation there has been a significant expansion of legalized gambling.,legalized gambling has experienced a major growth in the last generation.,in the past generation legalized gambling has seen a marked expansion.,13,13,11,11,over the last generation there has been a significant expansion of legalized gambling.,1,0,over the last generation there has been a significant expansion of legalized gambling.,,
29,"Most states have instituted lotteries, and many have casinos as well.",29,243sentences.29,243sentences,243sentences.gambling,9,gambling,gambling,"Most states have implemented lotteries, and many have established casinos as well.","Most states have introduced lotteries, and a significant number have also established casinos.","Most states have established lotteries, and a significant number also have casinos.",most states have instituted lotteries and many have casinos as well.,most states have implemented lotteries and many have established casinos as well.,most states have introduced lotteries and a significant number have also established casinos.,most states have established lotteries and a significant number also have casinos.,11,12,13,12,most states have implemented lotteries and many have established casinos as well.,1,1,most states have implemented lotteries and many have established casinos as well.,,
30,Gambling has become very big but controversial business.,30,243sentences.30,243sentences,243sentences.gambling,9,gambling,gambling,"Gambling has become a substantial, yet disputed, industry.","The gambling sector is large, but also controversial.","Gambling has become a major, but not universally accepted, business.",gambling has become very big but controversial business.,gambling has become a substantial yet disputed industry.,the gambling sector is large but also controversial.,gambling has become a major but not universally accepted business.,8,8,8,10,gambling has become a substantial yet disputed industry.,1,0,gambling has become a substantial yet disputed industry.,,
31,"The wind from the hurricane shook the house, shattering a window in the kitchen.",31,243sentences.31,243sentences,243sentences.hurricane,10,hurricane,hurricane,The hurricane's wind broke a kitchen window by shaking the house.,A kitchen window was shattered by the house being shaken by the wind from the hurricane.,"The wind from the hurricane caused the house to shake, resulting in a broken kitchen window.",the wind from the hurricane shook the house shattering a window in the kitchen.,the hurricane's wind broke a kitchen window by shaking the house.,a kitchen window was shattered by the house being shaken by the wind from the hurricane.,the wind from the hurricane caused the house to shake resulting in a broken kitchen window.,14,11,16,16,a kitchen window was shattered by the house being shaken by the wind from the hurricane.,2,2,a kitchen window was shattered by the house being shaken by the wind from the hurricane.,,
32,"We ran in, grabbed some food, slammed the door, and surrendered the kitchen to the hurricane.",32,243sentences.32,243sentences,243sentences.hurricane,10,hurricane,hurricane,"We quickly went in, got some food, closed the door and left the kitchen to the hurricane.","We entered the kitchen, took some food, closed the door behind us, and surrendered it to the hurricane.","After we rushed in, got some food and shut the door, we gave the kitchen to the hurricane.",we ran in grabbed some food slammed the door and surrendered the kitchen to the hurricane.,we quickly went in got some food closed the door and left the kitchen to the hurricane.,we entered the kitchen took some food closed the door behind us and surrendered it to the hurricane.,after we rushed in got some food and shut the door we gave the kitchen to the hurricane.,16,17,18,18,we quickly went in got some food closed the door and left the kitchen to the hurricane.,1,1,we quickly went in got some food closed the door and left the kitchen to the hurricane.,,
33,I was afraid our house would be ripped from its foundation.,33,243sentences.33,243sentences,243sentences.hurricane,10,hurricane,hurricane,I feared our house would be dislodged from its foundation due to the wind.,The wind made me fear that our house would be separated from its foundation.,The wind caused me to worry that the house would be wrenched from its foundation.,i was afraid our house would be ripped from its foundation.,i feared our house would be dislodged from its foundation due to the wind.,the wind made me fear that our house would be separated from its foundation.,the wind caused me to worry that the house would be wrenched from its foundation.,11,14,14,15,i feared our house would be dislodged from its foundation due to the wind.,1,3,i was afraid that our house would be torn from its foundation.,,1
34,"Later that night, with the wind shaking the house, we fell asleep huddled on the sofa.",34,243sentences.34,243sentences,243sentences.hurricane,10,hurricane,hurricane,"During the night, as the wind was shaking the house, we dozed off while huddled on the sofa.","We went to sleep, huddled on the couch, as the wind shook the house.","With the house being shaken by the wind, we eventually fell asleep while cuddled on the couch.",later that night with the wind shaking the house we fell asleep huddled on the sofa.,during the night as the wind was shaking the house we dozed off while huddled on the sofa.,we went to sleep huddled on the couch as the wind shook the house.,with the house being shaken by the wind we eventually fell asleep while cuddled on the couch.,16,18,14,17,with the house being shaken by the wind we eventually fell asleep while cuddled on the couch.,3,1,with the house being shaken by the wind we eventually fell asleep while huddled on the couch.,,1
35,Hurricanes can tear limbs off of trees and suck houses off their foundations.,35,243sentences.35,243sentences,243sentences.hurricane,11,hurricane,hurricane,Hurricanes can rip tree branches and uproot houses.,Tree limbs can be torn off and houses can be pulled up by the roots during hurricanes.,Hurricanes can detach tree limbs and extract houses from their foundations.,hurricanes can tear limbs off of trees and suck houses off their foundations.,hurricanes can rip tree branches and uproot houses.,tree limbs can be torn off and houses can be pulled up by the roots during hurricanes.,hurricanes can detach tree limbs and extract houses from their foundations.,13,8,17,11,hurricanes can detach tree limbs and extract houses from their foundations.,3,2,hurricanes can detach tree limbs and extract houses from their foundations.,,
36,They dump heavy rains that can trigger floods and mudslides.,36,243sentences.36,243sentences,243sentences.hurricane,11,hurricane,hurricane,Hurricanes can produce heavy rainfall that can lead to floods and landslides.,Hurricanes bring heavy rains that can cause floods and mudslides.,The heavy rain from hurricanes can result in floods and mudslides.,they dump heavy rains that can trigger floods and mudslides.,hurricanes can produce heavy rainfall that can lead to floods and landslides.,hurricanes bring heavy rains that can cause floods and mudslides.,the heavy rain from hurricanes can result in floods and mudslides.,10,12,10,11,hurricanes bring heavy rains that can cause floods and mudslides.,2,0,they bring heavy rains that can cause floods and mudslides.,,1
37,Hurricanes can also bring a storm surge: a wall of ocean water that lurches onto land.,37,243sentences.37,243sentences,243sentences.hurricane,11,hurricane,hurricane,Hurricanes can also create a surge of ocean water that creeps onto land.,A surge of ocean water that creeps onto land can also be caused by hurricanes.,"Hurricanes can produce a surge, which is a wall of ocean water that moves onto land.",hurricanes can also bring a storm surge a wall of ocean water that lurches onto land.,hurricanes can also create a surge of ocean water that creeps onto land.,a surge of ocean water that creeps onto land can also be caused by hurricanes.,hurricanes can produce a surge which is a wall of ocean water that moves onto land.,16,13,15,16,hurricanes can produce a surge which is a wall of ocean water that moves onto land.,3,0,hurricanes can produce a surge which is a wall of ocean water that moves onto land.,,
38,Scientists use several methods to look for evidence of ancient hurricanes.,38,243sentences.38,243sentences,243sentences.hurricane,12,hurricane,hurricane,Several methods are used by scientists to search for proof of historical hurricanes.,"To uncover evidence of ancient hurricanes, scientists employ a number of methods.",Scientists employ multiple techniques to search for evidence of ancient hurricanes.,scientists use several methods to look for evidence of ancient hurricanes.,several methods are used by scientists to search for proof of historical hurricanes.,to uncover evidence of ancient hurricanes scientists employ a number of methods.,scientists employ multiple techniques to search for evidence of ancient hurricanes.,11,13,12,11,scientists employ multiple techniques to search for evidence of ancient hurricanes.,3,0,scientists employ multiple techniques to search for evidence of ancient hurricanes.,,
39,The strongest storms deposited layers of windblown beach sand at the bottoms of coastal lakes.,39,243sentences.39,243sentences,243sentences.hurricane,12,hurricane,hurricane,The most severe storms left layers of wind-blown sand from beaches at the bottom of coastal lakes.,Strongest storms left layers of beach sand that was blown by wind at the bottom of coastal lakes.,The bottom of coastal lakes was left with layers of wind-blown sand from beaches by the most intense storms.,the strongest storms deposited layers of windblown beach sand at the bottoms of coastal lakes.,the most severe storms left layers of wind-blown sand from beaches at the bottom of coastal lakes.,strongest storms left layers of beach sand that was blown by wind at the bottom of coastal lakes.,the bottom of coastal lakes was left with layers of wind-blown sand from beaches by the most intense storms.,15,17,18,19,the most severe storms left layers of wind-blown sand from beaches at the bottom of coastal lakes.,1,2,the most severe storms left layers of wind-blown sand from beaches at the bottom of coastal lakes.,,
40,Trees drenched by passing hurricanes preserve a record of each storm in their growth rings.,40,243sentences.40,243sentences,243sentences.hurricane,12,hurricane,hurricane,The growth rings of trees drenched by passing hurricanes show a record of each storm.,Trees that experience hurricanes retain a record of each storm in their growth rings.,The growth rings of trees that pass through hurricanes reveal the storm's history.,trees drenched by passing hurricanes preserve a record of each storm in their growth rings.,the growth rings of trees drenched by passing hurricanes show a record of each storm.,trees that experience hurricanes retain a record of each storm in their growth rings.,the growth rings of trees that pass through hurricanes reveal the storm's history.,15,15,14,13,the growth rings of trees drenched by passing hurricanes show a record of each storm.,1,0,the growth rings of trees drenched by passing hurricanes show a record of each storm.,,
